time,_id,close,high,low,open,volume
2023-01-03 18:40:00,1672771200,16637.5,16642.5,16636.0,16639.5,1986
2023-01-03 18:45:00,1672771500,16635.0,16639.0,16631.0,16639.0,2064
2023-01-03 18:50:00,1672771800,16639.5,16642.5,16634.0,16634.5,4170
2023-01-03 18:55:00,1672772100,16638.5,16639.0,16632.0,16637.5,5820
2023-01-03 19:00:00,1672772400,16632.5,16638.5,16629.0,16638.5,2207
2023-01-03 19:05:00,1672772700,16630.5,16634.0,16630.0,16631.0,4110
2023-01-03 19:10:00,1672773000,16624.5,16632.0,16622.0,16630.5,3854
2023-01-03 19:15:00,1672773300,16634.5,16639.0,16626.0,16626.0,3796
2023-01-03 19:20:00,1672773600,16624.0,16637.0,16620.5,16632.0,2818
2023-01-03 19:25:00,1672773900,16628.0,16628.0,16623.5,16624.0,3627
2023-01-03 19:30:00,1672774200,16624.0,16629.5,16619.5,16629.5,2714
2023-01-03 19:35:00,1672774500,16623.5,16624.5,16622.0,16624.5,4352
2023-01-03 19:40:00,1672774800,16634.5,16636.5,16621.5,16623.5,2607
2023-01-03 19:45:00,1672775100,16643.0,16645.5,16634.5,16636.0,10175
2023-01-03 19:50:00,1672775400,16639.0,16644.5,16634.5,16642.5,5555
2023-01-03 19:55:00,1672775700,16637.0,16648.0,16636.5,16640.5,2970
2023-01-03 20:00:00,1672776000,16641.5,16641.5,16635.5,16635.5,4790
2023-01-03 20:05:00,1672776300,16642.0,16645.5,16638.0,16645.5,4273
2023-01-03 20:10:00,1672776600,16654.5,16659.0,16639.5,16640.5,5213
2023-01-03 20:15:00,1672776900,16652.5,16663.5,16649.0,16657.0,11135
2023-01-03 20:20:00,1672777200,16648.0,16652.5,16644.5,16652.5,7209
2023-01-03 20:25:00,1672777500,16649.5,16654.5,16646.5,16646.5,3359
2023-01-03 20:30:00,1672777800,16659.0,16661.0,16652.0,16653.0,4578
2023-01-03 20:35:00,1672778100,16653.5,16660.5,16649.5,16659.0,3725
2023-01-03 20:40:00,1672778400,16653.0,16657.0,16649.0,16653.5,3659
2023-01-03 20:45:00,1672778700,16650.5,16653.0,16644.5,16652.0,6428
2023-01-03 20:50:00,1672779000,16652.5,16654.5,16649.0,16652.0,3099
2023-01-03 20:55:00,1672779300,16655.0,16658.0,16649.5,16651.0,3558
2023-01-03 21:00:00,1672779600,16652.5,16656.0,16650.0,16656.0,2297
